seq;timestamp_ms;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
270;2690;-7.712491;2.001515;5.838585;1.326056;-0.505639;0.837678
271;2700;-7.544797;2.106735;5.757784;1.337504;-0.438706;0.775135
272;2710;-7.502881;2.420948;5.808229;1.294119;-0.305064;0.637944
273;2720;-7.571541;2.859268;5.863939;1.146021;-0.170618;0.487726
274;2730;-7.736873;3.329480;6.035800;0.955481;-0.120824;0.402434
275;2740;-8.015884;3.190379;6.063166;0.802784;-0.229994;0.425999
276;2750;-7.758132;2.466374;5.782666;0.812215;-0.369682;0.412881
277;2760;-7.450234;2.343939;5.615563;0.989082;-0.424585;0.441556
278;2770;-7.484311;2.719549;5.706673;1.151383;-0.466423;0.469100
279;2780;-7.494710;2.987639;5.708336;1.226566;-0.487717;0.474081
280;2790;-7.410589;3.344172;5.766986;1.218194;-0.499395;0.464919
281;2800;-7.313403;3.680619;5.748835;1.117817;-0.482153;0.451200
282;2810;-7.349953;3.747235;5.620245;0.967748;-0.445192;0.389592
283;2820;-7.350792;3.784484;5.563875;0.818582;-0.425640;0.314513
284;2830;-7.324394;3.875433;5.498571;0.708094;-0.435090;0.288027
285;2840;-7.407477;3.862419;5.434480;0.616120;-0.489008;0.282580
286;2850;-7.254145;3.860120;5.325263;0.558640;-0.536805;0.254795
287;2860;-7.290950;4.007716;5.350086;0.487167;-0.577452;0.260787
288;2870;-7.265916;4.093803;5.411966;0.396229;-0.614934;0.234953
289;2880;-7.188620;4.038907;5.404884;0.297815;-0.634398;0.216904
290;2890;-7.004466;3.836991;5.375859;0.237550;-0.604529;0.185302
291;2900;-6.940068;3.842587;5.458185;0.199002;-0.550721;0.150913
292;2910;-7.008149;3.897705;5.580273;0.149482;-0.520130;0.127887
293;2920;-7.050756;3.828991;5.682927;0.093386;-0.518098;0.107444
294;2930;-7.021083;3.704780;5.765939;0.069305;-0.529679;0.025556
295;2940;-7.195836;3.852791;6.078013;0.019338;-0.582196;-0.029034
296;2950;-7.485044;4.121924;6.482842;-0.121026;-0.720122;-0.165395
297;2960;-7.730987;5.199284;7.175644;-0.457697;-0.935305;-0.265831
298;2970;-8.388425;6.245962;7.436600;-1.164399;-1.319994;-0.357833
299;2980;-7.526303;4.811416;6.506982;-1.849151;-1.619537;-0.585666
300;2990;-6.000193;3.171228;5.545827;-2.045604;-1.545406;-0.748223
301;3000;-5.887955;2.090164;5.239786;-1.856920;-1.311334;-0.872507
302;3010;-5.438361;1.214794;5.139054;-1.408181;-1.021109;-0.984540
303;3020;-5.324068;1.202675;5.459733;-0.793837;-0.695000;-0.898414
304;3030;-6.261100;1.726645;6.302994;-0.258241;-0.516193;-0.794714
305;3040;-6.983186;2.293536;7.187089;0.045264;-0.573288;-0.813140
306;3050;-7.143403;2.721449;7.688107;0.131911;-0.750347;-0.871863
307;3060;-6.856329;3.045407;7.775862;0.080640;-0.944882;-0.908317
308;3070;-6.615529;3.317592;7.720027;-0.062565;-1.112211;-0.836144
309;3080;-6.323918;3.204536;7.358290;-0.238687;-1.225410;-0.793088
310;3090;-5.995634;2.878985;7.163452;-0.364443;-1.249260;-0.741552
311;3100;-5.913436;2.618284;6.885462;-0.432747;-1.234130;-0.739192
312;3110;-5.541453;2.113886;6.732088;-0.414176;-1.156154;-0.715139
313;3120;-5.426809;1.568119;6.729232;-0.251522;-1.048713;-0.602640
314;3130;-5.697593;1.155693;6.815946;-0.010194;-0.958854;-0.614928
315;3140;-5.861793;1.035709;7.101919;0.239183;-0.912603;-0.743320
316;3150;-5.263851;1.793994;7.398729;0.380600;-0.867718;-0.792193
317;3160;-5.258255;2.475201;7.738450;0.355852;-0.820806;-0.565547
318;3170;-6.072513;2.839147;8.070369;0.174004;-0.874106;-0.497310
319;3180;-5.808541;2.996579;7.839358;-0.113233;-0.982683;-0.533777
320;3190;-5.382821;2.679770;7.627431;-0.345118;-1.046615;-0.413955
321;3200;-5.212994;2.111874;7.293200;-0.457591;-1.019807;-0.364831
322;3210;-5.101204;1.565925;7.173338;-0.429535;-0.932046;-0.373909
323;3220;-5.066606;1.282824;7.206453;-0.300291;-0.817321;-0.386705
324;3230;-4.901037;1.093236;7.297407;-0.117572;-0.690437;-0.397610
325;3240;-4.810247;0.904497;7.401682;0.127833;-0.544654;-0.377885
326;3250;-5.191319;1.372791;7.953259;0.318104;-0.434667;-0.365405
327;3260;-5.460716;1.666393;8.361688;0.343487;-0.413567;-0.473156
328;3270;-5.256148;1.997907;8.470263;0.286994;-0.463087;-0.498466
